Title,Year,Director,Josh Larsen,Nick Davis,Link,jamie loftus,risesinthewest,crhoesing,Aria,n23haynes,Adam Kempenaar,Maia,ratbathman,Mitra Jouhari,Caitlin Durante,victoire13,Monika Kothari
Pokémon: The First Movie,1998,Kunihiko Yuyama,,,https://letterboxd.com//film/pokemon-the-first-movie/,,,,,,,,,,,,
Emily the Criminal,2022,John Patton Ford,,3.5,https://letterboxd.com//film/emily-the-criminal/,,,,,,3.5,,,,,,
Bodies Bodies Bodies,2022,Halina Reijn,3.5,,https://letterboxd.com//film/bodies-bodies-bodies/,,3.0,2.5,,3.0,3.0,,,,,,
Black Swan,2010,Darren Aronofsky,,,https://letterboxd.com//film/black-swan/,5.0,4.0,4.0,3.5,,4.0,,,,,5.0,
Bedazzled,2000,Harold Ramis,,,https://letterboxd.com//film/bedazzled-2000/,,,,,,,,,,,,
Johnny Mnemonic,1995,Robert Longo,,,https://letterboxd.com//film/johnny-mnemonic/,,,,,,,,,,,,
Labyrinth,1986,Jim Henson,3.0,,https://letterboxd.com//film/labyrinth/,,,,,,,5.0,,,,,
Stardust,2007,Matthew Vaughn,,,https://letterboxd.com//film/stardust-2007/,,,,,,,,,,,,
Star Trek Beyond,2016,Justin Lin,2.5,,https://letterboxd.com//film/star-trek-beyond/,,,,,,3.0,,,,,,
Star Trek Into Darkness,2013,J.J. Abrams,3.5,,https://letterboxd.com//film/star-trek-into-darkness/,,,,,,3.5,,,,,,
DragonHeart,1996,Rob Cohen,,,https://letterboxd.com//film/dragonheart/,,,,,,,,,,,,
Troll 2,1990,Claudio Fragasso,,,https://letterboxd.com//film/troll-2/,,,,,,,,,,,,
Star Trek,2009,J.J. Abrams,,,https://letterboxd.com//film/star-trek/,,,,,,,,,,,,
The Mighty Ducks,1992,Stephen Herek,,,https://letterboxd.com//film/the-mighty-ducks/,,,,,,,,,,,,
Harold & Kumar Go to White Castle,2004,Danny Leiner,,,https://letterboxd.com//film/harold-kumar-go-to-white-castle/,,,,,,,,,,,,
Life As A House,2001,Irwin Winkler,,,https://letterboxd.com//film/life-as-a-house/,,,,,,,,,,,,
Kindergarten Cop,1990,Ivan Reitman,,2.0,https://letterboxd.com//film/kindergarten-cop/,,,,,,,,,,,,
Harry and the Hendersons,1987,William Dear,,,https://letterboxd.com//film/harry-and-the-hendersons/,,,,,,,,,,,,
Air Bud,1997,Charles Martin Smith,,,https://letterboxd.com//film/air-bud/,,,,,,,,,,,3.0,
The Importance of Being Earnest,2002,Oliver Parker,,,https://letterboxd.com//film/the-importance-of-being-earnest-2002/,,,,,,,,,,,,
Perfume: The Story of a Murderer,2006,Tom Tykwer,,,https://letterboxd.com//film/perfume-the-story-of-a-murderer/,,,,,,,,,,,,
Braveheart,1995,Mel Gibson,,,https://letterboxd.com//film/braveheart/,,,3.5,,,,,,,,5.0,
Highlander,1986,Russell Mulcahy,,,https://letterboxd.com//film/highlander/,,,,,,,,,,,,
Gone in Sixty Seconds,2000,Dominic Sena,,,https://letterboxd.com//film/gone-in-sixty-seconds/,,,,,,,,,,,,
The Addams Family,1991,Barry Sonnenfeld,,3.0,https://letterboxd.com//film/the-addams-family/,,,,,,,,,,,,
The Santa Clause,1994,John Pasquin,,,https://letterboxd.com//film/the-santa-clause/,,,,,,,,,,,4.0,
Father of the Bride,1991,Charles Shyer,,,https://letterboxd.com//film/father-of-the-bride-1991/,,,,,,,,,,,,
Mortal Kombat,1995,Paul W. S. Anderson,,,https://letterboxd.com//film/mortal-kombat/,,,,,,,,,,,,
Borat Subsequent Moviefilm,2020,Jason Woliner,2.5,,https://letterboxd.com//film/borat-subsequent-moviefilm/,,3.0,,,4.0,,,,,,,
Grosse Pointe Blank,1997,George Armitage,,,https://letterboxd.com//film/grosse-pointe-blank/,,,,,,,,,,,,
Nobody,2021,Ilya Naishuller,,,https://letterboxd.com//film/nobody-2021/,,,,,,,,,,,,
Another Round,2020,Thomas Vinterberg,,,https://letterboxd.com//film/another-round/,,5.0,,,,,5.0,,5.0,,,
Casino Royale,2006,Martin Campbell,4.0,,https://letterboxd.com//film/casino-royale-2006/,,,,,,,3.5,,,,,
Horrible Bosses,2011,Seth Gordon,,,https://letterboxd.com//film/horrible-bosses/,,,,,,,,,,,,
Ghost,1990,Jerry Zucker,,,https://letterboxd.com//film/ghost/,,,,,,,,,,,,
Hellraiser,1987,Clive Barker,2.0,,https://letterboxd.com//film/hellraiser/,,3.5,3.5,,,,,4.5,,,,
Interview with the Vampire,1994,Neil Jordan,,,https://letterboxd.com//film/interview-with-the-vampire/,3.5,,,,,,4.5,,,,,
