,Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
96,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-10 11:00:00-05:00,2025-05-10,11:00:00
97,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-10 13:15:00-05:00,2025-05-10,13:15:00
98,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-10 15:30:00-05:00,2025-05-10,15:30:00
99,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-10 17:45:00-05:00,2025-05-10,17:45:00
100,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-10 20:00:00-05:00,2025-05-10,20:00:00
101,YOUNG HEARTS,2024,Anthony Schatteman,2025-05-04 18:30:00-05:00,2025-05-04,18:30:00
102,MAGIC FARM,2025,Amalia Ulman,2025-05-04 16:15:00-05:00,2025-05-04,16:15:00
103,MAGIC FARM,2025,Amalia Ulman,2025-05-04 18:45:00-05:00,2025-05-04,18:45:00
104,MAGIC FARM,2025,Amalia Ulman,2025-05-04 14:00:00-05:00,2025-05-04,14:00:00
105,LOVE HOTEL,1985,Shinji Somai,2025-05-05 18:00:00-05:00,2025-05-05,18:00:00
106,YOUNG HEARTS,2024,Anthony Schatteman,2025-05-05 20:15:00-05:00,2025-05-05,20:15:00
107,MAGIC FARM,2025,Amalia Ulman,2025-05-05 20:30:00-05:00,2025-05-05,20:30:00
108,MAGIC FARM,2025,Amalia Ulman,2025-05-05 18:15:00-05:00,2025-05-05,18:15:00
109,MAGIC FARM,2025,Amalia Ulman,2025-05-06 20:30:00-05:00,2025-05-06,20:30:00
110,MAGIC FARM,2025,Amalia Ulman,2025-05-06 18:15:00-05:00,2025-05-06,18:15:00
111,MAGIC FARM,2025,Amalia Ulman,2025-05-07 17:45:00-05:00,2025-05-07,17:45:00
112,MAGIC FARM,2025,Amalia Ulman,2025-05-07 20:15:00-05:00,2025-05-07,20:15:00
