Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-19 20:00:00-05:00,2025-05-19,20:00:00
FAR AND AWAY: AAPI DOCUMENTARY SHORTS,2025,Various directors,2025-05-19 20:30:00-05:00,2025-05-19,20:30:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-20 17:45:00-05:00,2025-05-20,17:45:00
BITTERROOT,2024,Vera Brunner-Sung,2025-05-20 18:00:00-05:00,2025-05-20,18:00:00
APRIL,2025,Dea Kulumbegashvili,2025-05-20 20:00:00-05:00,2025-05-20,20:00:00
CHOOSING OURSELVES: AAPI QUEER SHORTS,2025,Various directors,2025-05-20 20:30:00-05:00,2025-05-20,20:30:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-21 17:45:00-05:00,2025-05-21,17:45:00
NEW WAVE,2025,Elizabeth Ai,2025-05-21 18:00:00-05:00,2025-05-21,18:00:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-21 20:15:00-05:00,2025-05-21,20:15:00
ROADBLOCKS: AAPI SHORTS,2025,Various directors,2025-05-21 20:30:00-05:00,2025-05-21,20:30:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-22 17:45:00-05:00,2025-05-22,17:45:00
CLOSING NIGHT: THE WEDDING BANQUET,2025,Andrew Ahn,2025-05-22 19:00:00-05:00,2025-05-22,19:00:00
APRIL,2025,Dea Kulumbegashvili,2025-05-22 20:00:00-05:00,2025-05-22,20:00:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-23 18:00:00-05:00,2025-05-23,18:00:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-23 18:15:00-05:00,2025-05-23,18:15:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-23 20:15:00-05:00,2025-05-23,20:15:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-23 20:30:00-05:00,2025-05-23,20:30:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-24 12:00:00-05:00,2025-05-24,12:00:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-24 12:15:00-05:00,2025-05-24,12:15:00
THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-05-24 14:00:00-05:00,2025-05-24,14:00:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-24 14:30:00-05:00,2025-05-24,14:30:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-24 16:30:00-05:00,2025-05-24,16:30:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-24 17:15:00-05:00,2025-05-24,17:15:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-24 19:00:00-05:00,2025-05-24,19:00:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-24 19:15:00-05:00,2025-05-24,19:15:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-25 12:00:00-05:00,2025-05-25,12:00:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-25 12:15:00-05:00,2025-05-25,12:15:00
THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-05-25 14:00:00-05:00,2025-05-25,14:00:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-25 14:30:00-05:00,2025-05-25,14:30:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-25 16:30:00-05:00,2025-05-25,16:30:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-25 17:15:00-05:00,2025-05-25,17:15:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-26 15:30:00-05:00,2025-05-26,15:30:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-26 16:15:00-05:00,2025-05-26,16:15:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-26 18:00:00-05:00,2025-05-26,18:00:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-26 18:15:00-05:00,2025-05-26,18:15:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-26 20:15:00-05:00,2025-05-26,20:15:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-26 20:30:00-05:00,2025-05-26,20:30:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-27 18:00:00-05:00,2025-05-27,18:00:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-27 18:15:00-05:00,2025-05-27,18:15:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-27 20:15:00-05:00,2025-05-27,20:15:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-27 20:30:00-05:00,2025-05-27,20:30:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-28 18:00:00-05:00,2025-05-28,18:00:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-28 18:15:00-05:00,2025-05-28,18:15:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-28 20:15:00-05:00,2025-05-28,20:15:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-28 20:30:00-05:00,2025-05-28,20:30:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-29 18:00:00-05:00,2025-05-29,18:00:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-29 18:15:00-05:00,2025-05-29,18:15:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-29 20:15:00-05:00,2025-05-29,20:15:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-29 20:30:00-05:00,2025-05-29,20:30:00
WRITTEN ON THE WIND,1956,Douglas Sirk,2025-06-01 13:30:00-05:00,2025-06-01,13:30:00
WHAT EVER HAPPENED TO BABY JANE?,1962,Robert Aldrich,2025-06-02 17:45:00-05:00,2025-06-02,17:45:00
"BLACK HARVEST PRESENTS: MAHOGANY AT 50 — ON STYLE, MEMORY, AND MEANING",2025,Various directors,2025-06-03 18:00:00-05:00,2025-06-03,18:00:00
M*A*S*H,1970,Robert Altman,2025-06-04 18:00:00-05:00,2025-06-04,18:00:00
GREY GARDENS,1975,"David Maysles, Albert Maysles, Ellen Hovde, Muffie Meyer",2025-06-05 18:00:00-05:00,2025-06-05,18:00:00
FEMALE TROUBLE,1974,John Waters,2025-06-06 20:00:00-05:00,2025-06-06,20:00:00
M*A*S*H,1970,Robert Altman,2025-06-07 14:00:00-05:00,2025-06-07,14:00:00
SHOWGIRLS,1995,Paul Verhoeven,2025-06-07 20:30:00-05:00,2025-06-07,20:30:00
MOMMIE DEAREST,1981,Frank Perry,2025-06-08 16:00:00-05:00,2025-06-08,16:00:00
WRITTEN ON THE WIND,1956,Douglas Sirk,2025-06-09 18:15:00-05:00,2025-06-09,18:15:00
BREWSTER MCCLOUD,1970,Robert Altman,2025-06-11 18:00:00-05:00,2025-06-11,18:00:00
BOOM!,1968,Joseph Losey,2025-06-13 20:15:00-05:00,2025-06-13,20:15:00
BREWSTER MCCLOUD,1970,Robert Altman,2025-06-14 14:00:00-05:00,2025-06-14,14:00:00
42ND STREET,1933,Lloyd Bacom,2025-06-14 12:00:00-05:00,2025-06-14,12:00:00
KING KONG,1933,"Merian C. Cooper, Ernest B. Schoedsack",2025-06-14 20:30:00-05:00,2025-06-14,20:30:00
GREY GARDENS,1975,"David Maysles, Albert Maysles, Ellen Hovde, Muffie Meyer",2025-06-15 14:00:00-05:00,2025-06-15,14:00:00
MOMMIE DEAREST,1981,Frank Perry,2025-06-16 18:00:00-05:00,2025-06-16,18:00:00
MCCABE & MRS. MILLER,1971,Robert Altman,2025-06-18 18:00:00-05:00,2025-06-18,18:00:00
SHOWGIRLS,1995,Paul Verhoeven,2025-06-20 20:30:00-05:00,2025-06-20,20:30:00
BOOM!,1968,Joseph Losey,2025-06-21 20:00:00-05:00,2025-06-21,20:00:00
MCCABE & MRS. MILLER,1971,Robert Altman,2025-06-21 14:00:00-05:00,2025-06-21,14:00:00
SABBATH QUEEN,2024,Sandi Simcha Dubowski,2025-06-21 17:00:00-05:00,2025-06-21,17:00:00
WHAT EVER HAPPENED TO BABY JANE?,1962,Robert Aldrich,2025-06-22 14:00:00-05:00,2025-06-22,14:00:00
SABBATH QUEEN,2024,Sandi Simcha Dubowski,2025-06-22 17:00:00-05:00,2025-06-22,17:00:00
