Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
Society of the Snow,2023,J.A. Bayona,/movie/society-of-the-snow/,Society of the Snow,2023,J.A. Bayona,0.72,144,The flight of a rugby team crashes on a glacier in the Andes. The few passengers who survive the crash find themselves in one of the world's toughest environments to survive.,"J.A. Bayona, Bernat Vilaplana, Jaime Marques, Nicolás Casariego, Pablo Vierci"
The Teachers' Lounge,2023,Ilker Çatak,/movie/the-teachers-lounge/,The Teachers' Lounge,2023,Ilker Çatak,0.82,98,"Carla Nowak (Leonie Benesch) is a dedicated, idealistic young teacher in her first job at a German middle school. Her relaxed rapport with her seventh-grade students is put under stress when a series of thefts occur at the school, and a staff investigation leads to accusations and mistrust among outraged parents, opinionated colleagues, ...","Johannes Duncker, Ilker Çatak"
All of Us Strangers,2023,Andrew Haigh,/movie/all-of-us-strangers/,All of Us Strangers,2023,Andrew Haigh,0.9,105,"One night in his near-empty tower block in contemporary London, Adam (Andrew Scott) has a chance encounter with a mysterious neighbor Harry (Paul Mescal), which punctures the rhythm of his everyday life. As a relationship develops between them, Adam is preoccupied with memories of the past and finds himself drawn back to the suburban tow...","Andrew Haigh, Taichi Yamada"
Casablanca,1942,Michael Curtiz,/movie/casablanca/,Casablanca,1943,Michael Curtiz,1.0,102,"A Casablanca, Morocco casino owner in 1941 shelters his former lover and her husband, a Czechoslovakian freedom fighter, from the Nazis.","Philip G. Epstein, Julius J. Epstein, Howard Koch, Murray Burnett, Joan Alison, Casey Robinson"
May December,2023,Todd Haynes,/movie/may-december/,May December,2023,Todd Haynes,0.86,113,"After their relationship ignited a tabloid saga two decades ago, Gracie (Julianne Moore) and Joe (Charles Melton) now lead a seemingly perfect suburban life. Their domestic bliss is disrupted when Elizabeth (Natalie Portman), a famous television actress, arrives in their tight-knit community to research her upcoming role as Gracie. As El...","Samy Burch, Alex Mechanik"
Anatomy of a Fall,2023,Justine Triet,/movie/anatomy-of-a-fall/,Anatomy of a Fall,2023,Justine Triet,0.86,150,"For the past year, Sandra (Sandra Hüller), her husband Samuel, and their eleven-year-old son Daniel have lived a secluded life in a remote town in the French Alps. When Samuel is found dead in the snow below their chalet, the police question whether he was murdered or committed suicide. Samuel's suspicious death is presumed murder, and S...","Justine Triet, Arthur Harari"
Master Gardener,2022,Paul Schrader,/movie/master-gardener/,Master Gardener,2023,Paul Schrader,0.63,110,"Narvel Roth (Joel Edgerton) is the meticulous horticulturist of Gracewood Gardens. He is as much devoted to tending the grounds of this beautiful and historic estate, to pandering to his employer, the wealthy dowager Mrs. Haverhill (Sigourney Weaver). When Mrs. Haverhill demands that he take on her wayward and troubled great-niece Maya (...",Paul Schrader
The Artifice Girl,2022,Franklin Ritch,/movie/the-artifice-girl/,The Artifice Girl,2023,Franklin Ritch,0.6,93,"A team of special agents discovers a revolutionary new computer program to bait and trap online predators. After teaming up with the program’s troubled developer, they soon find that the AI is rapidly advancing beyond its original purpose.",Franklin Ritch
Aftersun,2022,Charlotte Wells,/movie/aftersun/,Aftersun,2022,Charlotte Wells,0.95,98,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between miniDV footage as she tries to reconcile the father she knew with the man she didn’t.,Charlotte Wells
Rodeo,2022,Lola Quivoron,/movie/rodeo/,Rodeo,2023,Lola Quivoron,0.7,105,"Hot-tempered and fiercely independent, Julia (Julie Ledru) is a gearhead who thrives in hostile environments and turns every situation to her advantage. She has a talent for scamming condescending men who think it’s cute that she shows interest in their used motorbikes–and can’t fathom her riding away with gleeful abandon. Her obsession ...","Lola Quivoron, Antonia Buresi"
